"","software","category"
"374","TREE-PUZZLE","Computation of distances;Maximum likelihood methods;Quartets methods"
"375","TreeAlign","Tree-based sequence alignment"
"376","TREECON","Distance matrix methods;Tree plotting/drawing"
"377","TreeDis","Description or prediction of data from trees"
"378","TreeDyn","Interactive tree manipulation;Tree plotting/drawing"
"379","TreeEdit","Interactive tree manipulation;Clocks, dating and stratigraphy"
"380","TreeExplorer","Interactive tree manipulation;Tree plotting/drawing"
"381","Treefinder","Maximum likelihood methods;Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees;Simulation of trees or data;Clocks, dating and stratigraphy"
"382","TreeFit","Distance matrix methods;Computation of distances;Clocks, dating and stratigraphy"
"383","TreeFitter","Biogeographic analysis and host-parasite comparison"
"384","TreeGraph 2","Interactive tree manipulation;Tree plotting/drawing"
"385","TreeJuxtaposer","Interactive tree manipulation;Tree plotting/drawing"
"386","TreeMaker","Interactive tree manipulation"
"387","TREEMAP","Consensus trees, subtrees, supertrees, and distances between trees;Biogeographic analysis and host-parasite comparison"
"388","TreeMe","Interactive tree manipulation"
"389","TreeRot","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"390","TreeSAAP","Comparative method analysis;Description or prediction of data from trees"
"391","TreeScan","Examination of shapes of trees"
"392","TreeSnatcher Plus","Tree plotting/drawing"
"393","TreeStat","Examination of shapes of trees"
"394","TreeThief","Interactive tree manipulation;Tree plotting/drawing"
"395","TreeTool","Interactive tree manipulation;Tree plotting/drawing"
"396","TreeToy","Interactive tree manipulation;Tree plotting/drawing"
"397","TreeView","Interactive tree manipulation;Tree plotting/drawing"
"398","Treevolve and PTreevolve","Simulation of trees or data"
"399","UGENE","Distance matrix methods;Computation of distances;Tree plotting/drawing"
"400","unrooted","Tree plotting/drawing"
"401","Vanilla","Distance matrix methods;Computation of distances;Maximum likelihood methods;Bayesian inference methods;Simulation of trees or data;Examination of shapes of trees"
"402","W2H","Sequence management/job submission"
"403","weighbor","Distance matrix methods"
"404","Willson quartets programs","Quartets methods"
"405","Winboot","Distance matrix methods;Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"406","WINCLADA","Interactive tree manipulation"
"407","YCDMA","Computation of distances"
