"","software","category"
"83","DIVERGE","Comparative method analysis;Description or prediction of data from trees"
"84","DNA Stacks","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Sequence management/job submission"
"85","dnarates","Maximum likelihood methods"
"86","DNASIS","Distance matrix methods;Tree-based sequence alignment"
"87","DnaSP PAML","Computation of distances"
"88","Dnatree","Teaching about phylogenies"
"89","DPRML","Maximum likelihood methods;Sequence management/job submission"
"90","DT-ModSel","Maximum likelihood methods;Model Selection"
"91","DTdraw","Gene duplication and genomic analysis;Tree plotting/drawing"
"92","DTscore","Gene duplication and genomic analysis"
"93","DualBrothers","Looking for hybridization or recombination events"
"94","EDIBLE","Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Simulation of trees or data;Description or prediction of data from trees"
"95","EEEP","Looking for hybridization or recombination events"
"96","ELW MultiPhyl","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"97","EMBOSS","General-purpose packages;Parsimony programs;Distance matrix methods;Computation of distances;Maximum likelihood methods;Invariants (or Evolutionary Parsimony) methods;Interactive tree manipulation;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Compatibility analysis;Consensus trees, subtrees, supertrees, and distances between trees;Tree-based sequence alignment;Comparative method analysis;Tree plotting/drawing"
"98","EREM","Maximum likelihood methods;Simulation of trees or data"
"99","ETE","General-purpose packages;Interactive tree manipulation;Gene duplication and genomic analysis;Tree plotting/drawing"
"100","EvolSimulator","Looking for hybridization or recombination events;Gene duplication and genomic analysis"
"101","EvolveAGene3 EvolSimulator","Simulation of trees or data"
"102","FAMD","Distance matrix methods;Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees"
"103","fastDNAml","Maximum likelihood methods"
"104","fastDNAmlRev","Maximum likelihood methods"
"105","FastME","Distance matrix methods"
"106","FASTML","Distance matrix methods;Maximum likelihood methods;Description or prediction of data from trees"
"107","FastTree","Maximum likelihood methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"108","FigTree","Tree plotting/drawing"
"109","FootPrinter","Parsimony programs;Tree-based sequence alignment"
"110","Forest","Interactive tree manipulation"
"111","FORESTER","Gene duplication and genomic analysis;Tree plotting/drawing"
"112","Freqpars","Parsimony programs"
"113","FSTAT","Computation of distances"
"114","Gambit","Parsimony programs;Distance matrix methods;Quartets methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"115","GAME","Distance matrix methods;Computation of distances"
"116","GAPars","Parsimony programs;Artificial-intelligence and genetic algorithms methods"
"117","GARLI","Maximum likelihood methods;Artificial-intelligence and genetic algorithms methods"
"118","GCUA","Computation of distances"
"119","GDA","Distance matrix methods"
"120","GDE","Sequence management/job submission"
"121","GelCompar II","Parsimony programs;Distance matrix methods;Computation of distances"
"122","GeneDoc","Tree-based sequence alignment"
"123","Geneious","Distance matrix methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree-based sequence alignment;Tree plotting/drawing;Sequence management/job submission"
"124","Genepop","Computation of distances"
"125","GeneStudio Pro","Sequence management/job submission"
"126","Genetix","Computation of distances"
"127","GeneTree","Parsimony programs"
"128","GenGIS","Biogeographic analysis and host-parasite comparison;Tree plotting/drawing"
"129","Genie","Examination of shapes of trees"
"130","GenoDive","Computation of distances"
"131","GEODIS","Biogeographic analysis and host-parasite comparison"
"132","GEOMETRY","Quartets methods"
"133","GeoPhyloBuilder","Tree plotting/drawing"
"134","GHOSTS","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Clocks, dating and stratigraphy"
"135","gmaes","Parsimony programs;Distance matrix methods"
"136","GRate","Clocks, dating and stratigraphy"
"137","gtp","Gene duplication and genomic analysis"
"138","GZ-Gamma","Maximum likelihood methods"
"139","Hennig86","Parsimony programs"
"140","HeuristicMRF2","Consensus trees, subtrees, supertrees, and distances between trees"
"141","HGT","Looking for hybridization or recombination events"
"142","HON-new","Computation of distances"
"143","HY-PHY","Distance matrix methods;Maximum likelihood methods;Clocks, dating and stratigraphy"
"144","HyperTree","Tree plotting/drawing"
"145","IDC","Comparative method analysis"
"146","IDEA","Parsimony programs;Distance matrix methods"
"147","iGTP","Consensus trees, subtrees, supertrees, and distances between trees;Gene duplication and genomic analysis"
"148","IMa2","Bayesian inference methods;Looking for hybridization or recombination events"
"149","indel-Seq-Gen","Simulation of trees or data"
"150","IQPNNI","Quartets methods"
"151","IQPNNI PARAT","Maximum likelihood methods"
"152","Jane","Biogeographic analysis and host-parasite comparison"
"153","Jevtrace","Comparative method analysis;Description or prediction of data from trees"
"154","jMODELTEST","Model Selection"
"155","Kakusan4","Maximum likelihood methods;Model Selection"
"156","Lagrange","Biogeographic analysis and host-parasite comparison"
"157","laser","Examination of shapes of trees"
"158","LDDist","Computation of distances"
"159","Leaphy","Maximum likelihood methods"
"160","LEVEL2","Quartets methods"
"161","Likewind","Looking for hybridization or recombination events"
"162","Lintre","Distance matrix methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"163","LOBSTER","Tree-based sequence alignment"
"164","LVB","Parsimony programs;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"165","Mac5","Maximum likelihood methods"
"166","MacClade","Interactive tree manipulation;Comparative method analysis;Simulation of trees or data;Tree plotting/drawing"
"167","MacroCAIC","Comparative method analysis;Examination of shapes of trees"
"168","MacT","Distance matrix methods"
"169","MacVector","Distance matrix methods"
"170","MAFFT","Tree-based sequence alignment"
"171","MALIGN","Parsimony programs;Tree-based sequence alignment"
